chrome	firefox
excel	powerpoint
facebook	人人网
SHE	飞轮海
奥利奥	白加黑
巴士	公交
白菜	生菜
班主任	辅导员
棒球帽	鸭舌帽
包青天	狄仁杰
煲仔饭	砂锅饭
保安	保镖
比喻	拟人
冰红茶	乌龙茶 
菠萝蜜	榴莲
操场	跑道
朝鲜	古巴
成吉思汗	努尔哈赤
橙子	橘子
唇膏	口红
大白兔	金丝猴
袋鼠	考拉
董永	许仙
豆瓣	虾米
端午节	中秋节
断背 	百合 
反弹琵琶	乱弹棉花
反射	折射
风衣	雨衣 
冯小刚	张艺谋
福尔摩斯	工藤新一
富士山	太平山
干脆面	泡泡糖
高跟鞋	增高鞋
公交	地铁
公式	定理
瓜子	花生
关羽	张飞
贵妃醉酒	黛玉葬花
郭德纲	周立波
果粒橙	鲜橙多
过山车	碰碰车
过山车	摩天轮 
海豚	海狮
汉堡包	肉夹馍
汉奸	特务 
杭州	苏州
呵呵	哈哈
何炅	维嘉
红领巾	小黄帽
红烧牛肉面	香辣牛肉面
蝴蝶	蜜蜂
护手霜	身体乳
荒原	沙漠
皇后	太后
黄继光	董存瑞
灰太狼	红太狼
火车	地铁 
吉他	琵琶
加菲猫 	黑猫警长 
江南style	最炫民族风
奖牌	金牌
降龙十八掌	九阴白骨爪
饺子	包子
节节高升	票房大卖
结婚	订婚
金庸	古龙
近视眼镜	隐形眼镜
京东	凡客
警察	捕快
酒店	宾馆 
咖啡馆	自习室
咖啡机	豆浆机
烤肉	涮肉
烤鱼	烤肉
空气	氧气
口香糖	木糖醇
辣椒	芥末
老子	孔子 
凉皮	凉面
梁山伯与祝英台	罗密欧与朱丽叶
刘诗诗	刘亦菲
芦荟 	仙人掌
裸婚	闪婚
麻辣烫	火锅
麻雀	乌鸦
马克斯	恩格斯
麦克风	扩音器
玫瑰	月季
眉毛	胡须
美年达	芬达
门卡	钥匙
孟非	乐嘉
面包	蛋糕
摩托车	电动车
沐浴露	沐浴盐
拿铁	摩卡
年夜饭	谢师宴
牛奶	豆浆
牛肉干	猪肉脯
胖子	肥肉
泡泡糖	棒棒糖
泡泡糖	口香糖 
皮蛋	卤蛋
品客	可比克
葡萄	提子
普吉岛	塞班岛
骑士	武士
气泡	水泡
恰恰瓜子	真心瓜子
巧克力	朱古力
情人节	光棍节
雀巢	伊利
日光灯	白炽灯
日月星辰	风雨雷电
森马	以纯
生活费	零花钱
剩女	御姐
十面埋伏	四面楚歌
石油	煤矿
石油	汽油
手机	座机
首尔	东京
水饺	锅贴
水盆	水桶
吮指原味鸡	黄金脆皮鸡
宋祖英	彭丽媛
酸菜	苦瓜
酸菜鱼	水煮鱼
酸奶	乳酪
塔利班	本拉登 
太监	人妖
天天向上	非诚勿扰
铁观音	碧螺春
通缉令	投名状
同学	同桌
童话	神话
头盔	盔甲
拖把	扫把
王菲	那英
微信	微博
维多利亚	伊丽莎白
乌克兰	匈牙利
午餐肉	火腿
吸血鬼	僵尸
习近平	李克强
洗发水	护发素
香港	台湾
小矮人	葫芦娃
小笼包	灌汤包
小品	话剧
校徽	队徽
谢娜张杰	邓超孙俪
新年	春节
星座 	生肖 
雪茄	香烟
薰衣草	满天星
薰衣草	玫瑰花
迅雷	电驴
牙刷	牙膏 
姚明	林书豪
一国两制	对外开放
油条	麻花
余额宝	支付宝
元芳	展昭
元素	原子
张君雅	小浣熊
张韶涵	王心凌
赵敏	黄蓉
甄嬛传	红楼梦
甄子丹	李连杰
蜘蛛侠	蜘蛛精
蜘蛛侠	蝙蝠侠
纸巾	手帕
中石油	中海油
状元	冠军
自行车	电动车
作家	编剧
作文	论文
